id,trigger,conditions,script,text,options,notes
"#RULESET_NAME PAGSM",,,,,,
,,,,,,
# relationship level descriptions,,,,,,
,,,,,,
# commissioned,,,,,,
relLevelNeutralFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee",,"Though the Sindrian Fuel Company still considers you an employee, your contract is barely kept in place. Keep this up, and you'll be back to waiting in long lines just to fuel up at the pumps.",,
relLevelFavorableFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee",,"As an employee of the Sindrian Fuel Company, it is your duty to uphold the values of the Supreme Chief Overlord President Executive Gas Station Manager and of the Sindrian Fuel Company as a whole. As another bonus, you get to skip most lines when going to refuel your starships. Or more accurately, you get in wait in a line exclusively made up of other Company employees looking to refuel their starships.",,
relLevelWelcomingFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee",,"Your dutiful service to the Sindrian Fuel Company has brought some good attention to you, with a few of your fellow employees reaching out to you to help them out in some troubles. As well, your superiors have given you some extra priority in the customer line. Now you can expect to have your fleet finish refuel 50% faster than everyone else!",,
relLevelFriendlyFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee",,"Having made such a name for yourself within the Sindrian Fuel Company, the Board of Advertisement and Marketing has reached out to you to help promote the ideal employee within the Company. Though you might not be paid for your appearances, you at least can rest well that you're considered a model employee for others to emulate.",,
relLevelCooperativeFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee",,"Many may claim to be the best employee in the Sindrian Fuel Company, but you, Captain $playerName, truly deserve to be called Employee of Month. And with your continued service to the Sindrian Fuel Company, you can expect to be recognized as Employee of the Month of every month for not only this cycle, but for many cycles to come. Congratulations, champ. You earned it.",,
"#END commissioned",,,,,,
,,,,,,
# good,,,,,,
relLevelNeutralFuel,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == sindrian_diktat score:1000
!sfcemployee",,"The Sindrian Fuel Company sees you as nothing more than another customer among the countless millions who come to the Askonia system to refuel their fleets. Hope you don't mind the lines.",,
relLevelFavorableFuel,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == sindrian_diktat score:1000
!sfcemployee",,"Being a regular customer of the Sindrian Fuel Company does have some perks. The lines might still be long, but at least you're now offered 25 credits back per every 100 barrels of fuel you buy. What a steal!",,
relLevelWelcomingFuel,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == sindrian_diktat score:1000
!sfcemployee",,"As a loyal customer of the Sindrian Fuel Company, the company has put you on the priority list for refueling. You can expect to finish refueling your ships 25% faster than the average customer. How nice of the company to treat their loyal customers.",,
relLevelFriendlyFuel,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == sindrian_diktat score:1000
!sfcemployee",,"Going above and beyond the efforts of a regular customer of the Sindrian Fuel Company, the higher ups have offered you the opportunity to partake in the gold star member annual lottery. Winner gets an all expenses vacation trip to Volturn to meet with Volturn-y the Volturnian Lobster. Better start filling up at the pumps more often.",,
relLevelCooperativeFuel,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == sindrian_diktat score:1000
!sfcemployee",,"Few customers have ever been graced with such recognition with the Sindrian Fuel Company, with even a letter from Supreme Chief Overlord President Executive Gas Station Manager Phillip Andrada (the signature only looks stamped, it's totally signed by him!) thanking you for your loyalty to the company. It even includes a free one time buffet pass to the famed Volturnian Lobster Garden! Delish!",,
"#END good",,,,,,
,,,,,,
# bad,,,,,,
relLevelSuspiciousFuel,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == sindrian_diktat score:2000",,"Now, we all know that Sindrian Fuel isn't the cheapest fuel in the sector. But that doesn't mean it's subpar because of its high prices. In fact because of the quality of Sindrian antimatter fuel, you know it can be trusted from taking you from point A to point B. Don't settle for lower quality competitor fuel, stick with Sindrian antimatter fuel!",,
relLevelInhospitableFuel,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == sindrian_diktat score:2000",,"Your disloyalty to the Sindrian Fuel Company and insistence on purchasing low quality competitor fuel (Don't think we haven't noticed you going to Nachiketa to buy your fuel!) has proven to be too much and has now barred you from patronaging your local Sindrian Fuel Company franchise. Maybe if you send the company a 1000 word document on how sorry you are, you might be able to buy high quality antimatter fuel again.",,
relLevelHostileFuel,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000",,"Surely you're joking. You can't seriously be thinking of purchasing antimatter fuel from another source! Do you think the Hegemony knows how to make fuel? Tri-Tachyon? The Persean League? The Luddic Church!? No, no, no, and big no! Why must you continue to have your fleets suffer from low quality fuel from our competitors? Volturn-y the Volturnian Lobster has a wife and kid to feed, you monster!",,
relLevelVengefulFuel,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000",,"You've really done it now. The Sindrian Fuel Company has tolerated your insistence of buying competitor fuel for this much. You've now been given the highest dishonor any person can receive from the Sindrian Fuel Company: A listing on Worst Customers in the Persean Sector. Now everyone will know how just awful of a customer you really are and think twice before working with you.",,
"#END bad",,,,,,
"#END relationship level descriptions",,,,,,
,,,,,,
# portside bar stuff,,,,,,
bar_descFuel,BarPrintDesc,"$faction.id == sindrian_diktat
$player.transponderOn == true","ShowImageVisual space_bar","You enter the bar, leaving the cheery tropical advertisement broadcasts of the throughway behind. Off-duty gas attendants drink away their wages at benches set beneath a logo of Volturn-y the Volturnian Lobster. In one corner, a cadre of finely dressed managers calls for another round. Even here, a larger-than-life holo of Executive Gas Station Manager Phillip Andrada gazes in your general direction as you decide what to do.",,
bar_descFuelSneak,BarPrintDesc,"$faction.id == sindrian_diktat
$player.transponderOn == false","ShowImageVisual space_bar","You double check that you're not being followed before quietly entering the bar. Off-duty gas attendants drink away their wages at benches set beneath a logo of Volturn-y the Volturnian Lobster. In one corner, a cadre of finely dressed managers calls for another round. Even here, a larger-than-life holo of Executive Gas Station Manager Phillip Andrada gazes in your general direction as you decide what to do.",,
bar_descFuelSindria,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == sindria score:100
$player.transponderOn == true","ShowImageVisual space_bar","At Sindria, one is spoiled for choice of what various bars and other similar establishments you may choose. Deciding to dive into the nearest bar, you leave behind the endless stream of commercials and hopefully to someplace much less busy.

Unfortunately for you, upon entering the bar, you're bombarded again by the Board of Advertisement's work. Servers walk around with hats decorated to look like a Volturnian Lobster, while bartenders mix drinks at fuel shell shaped bar stations. Even the walls are covered with gaudy purple lobsters, each lobster with a textbox next to it saying 'Buy Sindrian.'
OR
At Sindria, one is spoiled for choice of what various bars and other similar establishments you may choose. Deciding to dive into the nearest bar, you leave behind the endless stream of commercials and hopefully to someplace much less busy.

Somehow, you manage to find yourself someplace where the hand of Sindrian Fuel's Board of Advertisement has only made a slight pass at. Though the staff may wear ties covered with Volturnian lobster patterns, the establishment itself seems at least quiet enough to allow yourself to think clearly for once.
OR
At Sindria, one is spoiled for choice of what various bars and other similar establishments you may choose. Deciding to dive into the nearest bar, you leave behind the endless stream of commercials and hopefully to someplace much less busy.

You find yourself in a rather average looking establishment, for what could be considered average in a place where the Board of Advertisement has the last say of presentation. Banners of the company logo can be found on the walls, as a receptionist wearing a lobster pin welcomes you and directs you to an unoccupied seat at the front counter.",,
bar_descFuelSindriaSneak,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == sindria score:100
$player.transponderOn == false","ShowImageVisual space_bar","You double check that you're not being followed before quietly entering the bar. Off-duty gas attendants drink away their wages at benches set beneath a logo of Volturn-y the Volturnian Lobster. In one corner, a cadre of finely dressed managers calls for another round. Even here, a larger-than-life holo of Executive Gas Station Manager Phillip Andrada gazes in your general direction as you decide what to do.",,
bar_descFuelVolturn,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == volturn score:100
$player.transponderOn == true","ShowImageVisual space_bar","The Blue Lobster is the second most popular establishment on Volturn -- second only to the famed Volturnian Lobster Garden. Unlike Volturnian Lobster Garden, the Blue Lobster doesn't have a line that (allegedly) stretches for over a mile long.

After a quick inspection at the front door where the greeter cheerfully reminds you that the Blue Lobster is smoke-free zone, you enter the establishment and leave the sea air and lobster peddlers behind. Grizzled veterans sit with off-duty merchants, passing stories while drinking their worries away. Wealthy tourists wearing gaudy company souvenirs laugh and shout as a server brings them another round. A framed portrait of a younger looking Phillip Andrada carrying a purple lobster is flanked by a pair of banners with Volturn's famed mascot, Volturn-y the Volturnian Lobster.",,
bar_descFuelVolturnSneak,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == volturn score:100
$player.transponderOn == false","ShowImageVisual space_bar","You sneak into a corner bar away from the prying eyes of Sindrian Fuel patrols, making sure that you aren't being followed. Compared to the rest of the establishments on Volturn, this bar isn't particular fancy. Creaky floor boards announce your entrance as a few of the patrons look up at you before returning back to their drinks.",,
bar_descFuelCruor,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == cruor score:100
$player.transponderOn == true","ShowImageVisual space_bar","The local bars of Cruor are a far cry from the pristine and colorful establishments on other Sindrian Fuel Company worlds. Most simply seem to have been built to provide a place for workers to relax for a moment before their next shifts. You enter into one of these 'purpose-built' bars, squinting as your eyes adjust to the low light. Company workers and laborers mingle with drinks in hand, the rare security officer sitting alone to the side keeping watch over everyone. A simple banner hangs on one of the wall, with the words 'Hard Work and Honest Labor' printed on it.",,
bar_descFuelCruorSneak,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == cruor score:100
$player.transponderOn == false","ShowImageVisual space_bar","You quietly enter into one of the less occupied bars, making sure no security is present beforehand. The flickering of lights and makeshift furniture are the first things to catch your eyes. Downthrodden workers with ID tags labelling them as 'Repayment Laborer' huddle around worn down tables, drinking away whatever little wages they have. A faded banner hangs on one of the walls, with only the words 'Hard' and 'Labor' legible enough to be read.",,
